Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,isMVP
539,Karl-Anthony Towns,C,26,MIN,65,65,33.5,8.7,16.5,0.529,2.1,5,0.412,6.6,11.5,0.58,0.592,5.4,6.6,0.825,2.6,7.2,9.9,3.7,1,1.1,3.1,3.6,24.9,2021-2022,0
540,Gary Trent Jr.,SG,23,TOR,61,60,34.8,6.4,15.5,0.411,3,8,0.379,3.4,7.6,0.445,0.508,2.4,2.9,0.836,0.4,2.4,2.8,2,1.8,0.3,1,2.1,18.2,2021-2022,0
541,P.J. Tucker,PF,36,MIA,63,62,28.1,3,6.2,0.483,1.2,2.9,0.423,1.8,3.3,0.536,0.581,0.6,0.9,0.714,1.5,4,5.5,2.1,0.8,0.2,1,2.4,7.9,2021-2022,0
542,Rayjon Tucker,SG,24,DEN,3,0,9.7,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,1,1.3,0.75,0.3,1,1.3,1.3,0.3,0,0,1,2,2021-2022,0
543,Myles Turner,C,25,IND,42,42,29.4,4.8,9.4,0.509,1.5,4.4,0.333,3.3,5,0.662,0.587,1.9,2.5,0.752,1.5,5.5,7.1,1,0.7,2.8,1.3,2.8,12.9,2021-2022,0
544,Jonas Valančiūnas,C,29,NOP,64,64,30.5,6.9,12.9,0.538,0.8,2.3,0.366,6.1,10.6,0.574,0.57,3.2,3.9,0.819,3,8.4,11.4,2.5,0.5,0.8,2.4,3.3,17.9,2021-2022,0
545,Denzel Valentine,SG,28,TOT,24,0,9.3,1,2.8,0.379,0.8,2,0.404,0.3,0.8,0.316,0.523,0,0,,0.4,1.4,1.8,0.5,0.3,0,0.5,0.8,2.9,2021-2022,0
545,Denzel Valentine,SG,28,CLE,22,0,9.3,1,2.8,0.371,0.8,2,0.409,0.2,0.8,0.278,0.516,0,0,,0.4,1.3,1.7,0.5,0.3,0,0.5,0.8,2.9,2021-2022,0
545,Denzel Valentine,SG,28,UTA,2,0,9,1,2,0.5,0.5,1.5,0.333,0.5,0.5,1,0.625,0,0,,0,2,2,0,0.5,0,1,1.5,2.5,2021-2022,0
546,Jarred Vanderbilt,PF,22,MIN,64,57,25.9,2.9,4.9,0.588,0,0.2,0.154,2.8,4.7,0.607,0.591,1.1,1.8,0.652,3,5.8,8.7,1.4,1.4,0.7,1,2.5,6.9,2021-2022,0
547,Fred VanVleet,PG,27,TOR,57,57,38.2,7.1,17.1,0.411,3.9,10,0.387,3.2,7.2,0.445,0.524,3.1,3.5,0.871,0.7,3.9,4.6,6.7,1.6,0.5,2.7,2.4,21.1,2021-2022,0
548,Devin Vassell,SF,21,SAS,62,23,26.7,4.5,10.5,0.43,1.8,5.2,0.346,2.7,5.4,0.511,0.515,1,1.2,0.811,0.6,3.7,4.2,1.8,1,0.6,0.8,2,11.8,2021-2022,0
549,Gabe Vincent,PG,25,MIA,62,26,23.9,3.2,7.8,0.414,1.8,4.9,0.361,1.5,2.9,0.506,0.528,0.7,0.8,0.808,0.4,1.6,1.9,3.2,1,0.2,1.5,2.4,8.9,2021-2022,0
550,Nikola Vučević,C,31,CHI,62,62,33.5,7.6,16.1,0.474,1.4,4.7,0.302,6.2,11.4,0.545,0.519,1.2,1.6,0.752,1.9,9.5,11.4,3.3,1,1,1.9,2.5,17.9,2021-2022,0
551,Dean Wade,PF,25,CLE,51,28,19.2,1.9,4.3,0.456,1,2.8,0.359,0.9,1.5,0.64,0.574,0.4,0.6,0.667,0.6,2.3,2.9,1,0.6,0.1,0.3,1.7,5.3,2021-2022,0
552,Franz Wagner,SF,20,ORL,71,71,31.6,5.9,12.5,0.467,1.3,3.5,0.365,4.6,9,0.507,0.519,2.4,2.8,0.85,1.1,3.6,4.6,2.9,0.9,0.4,1.6,2.1,15.4,2021-2022,0
553,Moritz Wagner,C,24,ORL,52,1,13.6,3,5.9,0.503,1,2.9,0.333,2,3,0.667,0.585,1.6,2,0.798,0.6,2.5,3.1,1.2,0.3,0.2,0.8,1.8,8.5,2021-2022,0
554,Ish Wainright,PF,27,PHO,39,0,7.4,0.6,1.9,0.342,0.3,1.1,0.262,0.4,0.8,0.452,0.418,0.1,0.3,0.5,0.5,0.6,1.1,0.3,0.3,0.2,0.3,1,1.7,2021-2022,0
555,Kemba Walker,PG,31,NYK,37,37,25.6,4,10,0.403,2,5.4,0.367,2.1,4.6,0.444,0.501,1.6,1.9,0.845,0.4,2.6,3,3.5,0.7,0.2,1.3,1,11.6,2021-2022,0
556,Lonnie Walker IV,SG,23,SAS,65,6,23.2,4.5,11,0.408,1.6,5,0.317,2.9,6,0.483,0.48,1.6,2.1,0.779,0.3,2.3,2.5,2.1,0.6,0.3,1,1.4,12.2,2021-2022,0
557,M.J. Walker,SG,23,PHO,2,0,4,0,2,0,0,1,0,0,1,0,0,0,0,,0,0.5,0.5,0.5,1,0,0,0.5,0,2021-2022,0
558,Tyrone Wallace,SG,27,NOP,3,0,17.7,1.7,4.7,0.357,0.7,2.3,0.286,1,2.3,0.429,0.429,0.3,1.7,0.2,0,1.7,1.7,0.3,0.3,0.3,0.3,1.7,4.3,2021-2022,0
559,Derrick Walton,PG,26,DET,3,3,36,2,8.7,0.231,1,4.3,0.231,1,4.3,0.231,0.288,1.3,1.3,1,0.7,2.7,3.3,7,2.3,1.3,3.7,2.7,6.3,2021-2022,0
560,Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1,2.6,0.4,0.39,1,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1,2,3.6,2021-2022,0
560,Brad Wanamaker,PG,32,IND,22,1,13.3,1.2,3.3,0.361,0.2,0.8,0.235,1,2.5,0.4,0.389,0.9,1,0.909,0.3,1.3,1.6,2.2,0.2,0.3,1,1.9,3.5,2021-2022,0
560,Brad Wanamaker,PG,32,WAS,1,1,27,2,5,0.4,0,0,,2,5,0.4,0.4,3,3,1,0,4,4,7,2,0,0,3,7,2021-2022,0
561,Duane Washington Jr.,PG,21,IND,39,7,20,3.5,8.8,0.4,1.7,4.4,0.376,1.9,4.4,0.424,0.494,0.8,1.2,0.733,0.1,1.7,1.7,1.8,0.5,0.1,1.1,1.4,9.6,2021-2022,0
562,P.J. Washington,PF,23,CHO,54,17,26.6,3.7,8.2,0.457,1.8,4.9,0.372,1.9,3.3,0.585,0.569,0.9,1.3,0.708,1.3,4.1,5.3,2,0.9,0.9,1.3,2.3,10.3,2021-2022,0
563,Yuta Watanabe,SF,27,TOR,32,4,12.6,1.6,3.8,0.421,0.8,2.1,0.382,0.8,1.7,0.472,0.529,0.6,1.1,0.571,0.6,2,2.5,0.6,0.3,0.5,0.6,1.1,4.6,2021-2022,0
564,Lindy Waters III,SG,24,OKC,15,1,16.3,2.1,5.5,0.378,1.3,4.5,0.294,0.7,0.9,0.786,0.5,0,0,,0,2.3,2.3,0.7,0.7,0.4,0.3,1.1,5.5,2021-2022,0
565,Tremont Waters,PG,24,TOT,3,0,16.7,1.3,4.7,0.286,0.7,3,0.222,0.7,1.7,0.4,0.357,0,0,,0,1.3,1.3,2.3,1.7,0,1.3,1.3,3.3,2021-2022,0
565,Tremont Waters,PG,24,TOR,2,0,21,1.5,6,0.25,1,4.5,0.222,0.5,1.5,0.333,0.333,0,0,,0,2,2,3.5,2,0,2,1,4,2021-2022,0
565,Tremont Waters,PG,24,WAS,1,0,8,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,1,0,0,2,2,2021-2022,0
566,Trendon Watford,SF,21,POR,43,5,16.8,2.6,4.9,0.526,0.2,0.7,0.226,2.4,4.2,0.578,0.543,1.4,1.8,0.792,1.1,2.8,3.9,1.4,0.4,0.6,0.7,2.3,6.7,2021-2022,0
567,Paul Watson,SF,27,OKC,9,3,17.3,1.3,3.9,0.343,0.7,2.9,0.231,0.7,1,0.667,0.429,0.1,0.2,0.5,0.3,2.7,3,0.9,0.3,0.3,0.4,1.1,3.4,2021-2022,0
568,Quinndary Weatherspoon,SG,25,GSW,9,0,7.6,1.3,2.2,0.6,0.1,0.4,0.25,1.2,1.8,0.688,0.625,0.6,0.6,1,0.2,1.3,1.6,0.4,0.1,0.1,0.3,1.7,3.3,2021-2022,0
569,Russell Westbrook,PG,33,LAL,70,70,34.5,6.8,15.7,0.436,1,3.3,0.291,5.9,12.4,0.475,0.467,3.4,5,0.671,1.4,6.1,7.5,7.1,1,0.3,3.9,3,18,2021-2022,0
570,Coby White,PG,21,CHI,50,16,28.1,4.8,10.8,0.447,2.3,5.9,0.398,2.5,4.9,0.506,0.555,1.4,1.7,0.855,0.3,2.7,3.1,3,0.4,0.2,1.1,2.2,13.4,2021-2022,0
571,Derrick White,SG,27,TOT,64,49,29.3,4.6,11,0.416,1.5,5.1,0.295,3.1,6,0.518,0.484,2.6,3,0.862,0.5,3,3.5,5,1,0.9,1.6,2.3,13.3,2021-2022,0
571,Derrick White,SG,27,SAS,49,48,30.3,5,11.6,0.426,1.7,5.3,0.314,3.3,6.4,0.519,0.497,2.8,3.3,0.869,0.5,3,3.5,5.6,1,0.9,1.8,2.4,14.4,2021-2022,0
571,Derrick White,SG,27,BOS,15,1,25.7,3.4,9.1,0.372,1,4.5,0.224,2.4,4.7,0.514,0.427,1.9,2.3,0.829,0.6,2.7,3.3,3.1,0.9,0.9,1.1,2.3,9.7,2021-2022,0
572,Hassan Whiteside,C,32,UTA,57,8,18.2,3.4,5.2,0.649,0,0,,3.4,5.2,0.649,0.649,1.6,2.5,0.622,2.5,5.3,7.8,0.4,0.4,1.5,0.9,2.9,8.3,2021-2022,0
573,Joe Wieskamp,SG,22,SAS,21,0,6,0.8,1.8,0.447,0.5,1.3,0.407,0.3,0.5,0.545,0.592,0.1,0.3,0.429,0.1,0.2,0.4,0.3,0.1,0.1,0.1,0.3,2.3,2021-2022,0
574,Aaron Wiggins,SG,23,OKC,42,28,23.4,2.9,6.1,0.471,0.8,2.6,0.318,2,3.5,0.585,0.539,1.1,1.5,0.73,1,2.5,3.5,1.1,0.7,0.2,0.9,2,7.7,2021-2022,0
575,Andrew Wiggins,SF,26,GSW,62,62,31.8,6.6,14,0.47,2.2,5.5,0.401,4.4,8.5,0.515,0.549,1.9,3,0.63,1.1,3.3,4.4,2.3,1.1,0.8,1.5,2.1,17.3,2021-2022,0
576,Lindell Wigginton,PG,23,MIL,15,0,8.1,1,2.1,0.469,0.5,1,0.467,0.5,1.1,0.471,0.578,0.7,1.2,0.556,0.1,1,1.1,0.5,0.2,0.1,0.5,0.6,3.1,2021-2022,0
577,Brandon Williams,PG,22,POR,12,6,24.9,5,11.5,0.435,1.3,4,0.333,3.7,7.5,0.489,0.493,2.9,4.7,0.625,0.8,2.5,3.3,2.6,0.8,0.5,2.3,2,14.3,2021-2022,0
578,Grant Williams,PF,23,BOS,66,16,23.8,2.6,5.3,0.481,1.5,3.4,0.425,1.1,1.9,0.584,0.618,0.9,1,0.912,0.8,2.6,3.4,1.1,0.5,0.7,0.7,2.3,7.5,2021-2022,0
579,Kenrich Williams,SF,27,OKC,49,0,21.9,3,6.5,0.461,0.8,2.5,0.339,2.1,4,0.536,0.525,0.6,1.1,0.545,1.5,3,4.5,2.2,0.9,0.2,0.9,1.7,7.4,2021-2022,0
580,Lou Williams,PG,35,ATL,50,0,14.4,2.3,5.9,0.399,0.7,1.9,0.347,1.7,4,0.424,0.456,1.1,1.3,0.864,0.3,1.2,1.5,1.9,0.5,0.1,0.7,0.9,6.5,2021-2022,0
581,Patrick Williams,PF,20,CHI,5,5,25,2.6,4.6,0.565,0.6,1.2,0.5,2,3.4,0.588,0.63,0.8,0.8,1,0.2,2,2.2,0.6,0.6,0.4,0.4,1.8,6.6,2021-2022,0
582,Robert Williams,C,24,BOS,58,58,29.8,4.4,6,0.729,0,0,0,4.4,6,0.731,0.729,1.1,1.5,0.719,3.9,5.7,9.6,2,0.9,2.2,1.1,2.2,9.9,2021-2022,0
583,Ziaire Williams,SF,20,MEM,51,27,21.5,3,6.5,0.458,1.2,3.7,0.317,1.8,2.8,0.643,0.548,0.5,0.6,0.781,0.4,1.6,2,0.9,0.5,0.2,0.6,1.8,7.6,2021-2022,0
584,D.J. Wilson,PF,25,TOR,4,1,13.5,2.8,3.8,0.733,0,0.5,0,2.8,3.3,0.846,0.733,2,2.5,0.8,0.3,3.8,4,1.3,1.3,0.3,0.5,1.5,7.5,2021-2022,0
585,Dylan Windler,SF,25,CLE,41,0,9.2,0.8,2,0.398,0.5,1.5,0.35,0.3,0.6,0.522,0.524,0.2,0.3,0.818,0.4,1.3,1.7,0.7,0.3,0.1,0.3,1,2.3,2021-2022,0
586,Justise Winslow,SF,25,TOT,46,9,16,2.3,5.2,0.446,0.3,1.3,0.242,2,3.9,0.517,0.477,0.8,1.3,0.565,1,3.2,4.2,1.8,0.7,0.5,1,1.4,5.7,2021-2022,0
586,Justise Winslow,SF,25,LAC,37,1,12.9,1.7,3.8,0.447,0.1,0.8,0.172,1.6,3,0.518,0.465,0.7,1.1,0.61,0.8,2.8,3.6,1.4,0.6,0.5,1,1.2,4.2,2021-2022,0
586,Justise Winslow,SF,25,POR,9,8,28.6,4.9,11,0.444,1.1,3.7,0.303,3.8,7.3,0.515,0.495,1.1,2.3,0.476,1.8,4.7,6.4,3.2,1.4,0.7,1.1,2.2,12,2021-2022,0
587,Cassius Winston,PG,23,WAS,5,0,5.4,0.6,1.2,0.5,0.4,1,0.4,0.2,0.2,1,0.667,0.4,0.4,1,0,0,0,1,0,0,0.2,1.4,2,2021-2022,0
588,Christian Wood,C,26,HOU,63,62,31.1,6.5,13.1,0.496,1.9,4.9,0.382,4.6,8.2,0.564,0.567,3.1,5,0.616,1.7,8.4,10.2,2.3,0.8,1,1.9,2.5,18,2021-2022,0
589,Robert Woodard II,SF,22,SAC,12,0,3.5,0.2,1.3,0.125,0.1,0.3,0.25,0.1,1,0.083,0.156,0.2,0.2,1,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,0.6,2021-2022,0
590,Delon Wright,SG,29,ATL,65,7,18.2,1.6,3.5,0.447,0.5,1.5,0.368,1,2,0.504,0.524,0.7,0.8,0.849,0.6,2.2,2.8,2.4,1.1,0.2,0.6,0.7,4.4,2021-2022,0
591,McKinley Wright IV,PG,23,MIN,3,0,3,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0,0,0,0.3,0,0,0.3,0.3,1.7,2021-2022,0
592,Moses Wright,PF,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,2021-2022,0
593,Thaddeus Young,PF,33,TOT,40,1,15.4,2.7,5.2,0.524,0.2,0.6,0.375,2.5,4.6,0.544,0.546,0.4,0.9,0.405,1.5,2.3,3.8,2,0.9,0.3,1.1,1.6,6,2021-2022,0
593,Thaddeus Young,PF,33,SAS,26,1,14.2,2.8,4.9,0.578,0,0.2,0,2.8,4.7,0.602,0.578,0.4,0.8,0.455,1.5,2,3.6,2.3,0.9,0.3,1.2,1.5,6.1,2021-2022,0
593,Thaddeus Young,PF,33,TOR,14,0,17.6,2.4,5.6,0.436,0.6,1.4,0.474,1.8,4.2,0.424,0.494,0.4,1.1,0.333,1.5,2.8,4.3,1.4,0.9,0.3,1.1,1.8,5.9,2021-2022,0
594,Trae Young,PG,23,ATL,64,64,34.9,9.3,20.4,0.456,3,7.8,0.38,6.4,12.6,0.504,0.529,6.5,7.2,0.9,0.6,3.2,3.8,9.5,1,0.1,4,1.6,28,2021-2022,0
595,Omer Yurtseven,C,23,MIA,50,11,12.6,2.4,4.5,0.54,0,0.2,0.125,2.4,4.3,0.556,0.542,0.7,1.1,0.632,1.5,3.9,5.4,0.9,0.3,0.4,0.8,1.5,5.6,2021-2022,0
596,Cody Zeller,C,29,POR,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,2021-2022,0
597,Ivica Zubac,C,24,LAC,67,67,24.5,4,6.4,0.624,0,0,,4,6.4,0.624,0.624,2.3,3.1,0.734,2.8,5.6,8.4,1.5,0.5,1,1.6,2.6,10.2,2021-2022,0
